,0
0,16
1,16
2,14
3,12
4,15
5,13
6,15
7,20
8,21
9,21
10,26
11,19
12,19
13,24
14,42
15,35
16,33
17,46
18,41
19,28
20,39
21,38
22,32
23,41
24,51
25,43
26,29
27,39
28,45
29,39
30,39
31,18
32,32
33,38
34,31
35,8
36,11
37,15
38,14
39,17
40,12
41,15
42,16
43,25
44,16
45,18
46,11
47,11
48,12
49,10
50,10
51,13
52,18
53,11
54,17
55,16
56,19
57,16
58,17
59,21
60,24
61,13
62,21
63,21
64,23
65,22
66,30
67,31
68,25
69,40
70,41
71,34
72,24
73,25
74,39
75,86
76,48
77,63
78,36
79,29
80,29
81,47
82,33
83,41
84,45
85,62
86,35
87,4
88,35
89,19
90,16
91,17
92,16
93,26
94,16
95,27
96,17
97,22
98,33
99,28
100,16
101,26
102,16
103,29
104,16
105,28
106,20
107,21
108,26
109,40
110,26
111,29
112,36
113,37
114,33
115,59
116,29
117,41
118,32
119,53
120,27
121,45
122,32
123,66
124,39
125,38
126,33
127,40
128,58
129,36
130,50
131,19
132,47
133,13
134,19
135,27
136,66
137,21
138,41
139,12
140,10
141,20
142,14
143,11
144,10
145,10
146,11
147,14
148,11
149,15
150,8
151,11
152,17
153,19
154,16
155,14
156,17
157,15
158,12
159,25
160,29
161,26
162,29
163,41
164,47
165,40
166,33
167,33
168,33
169,34
170,34
171,39
172,32
173,31
174,36
175,36
176,43
177,50
178,33
179,66
180,45
181,57
182,41
183,57
184,60
185,17
186,31
187,31
188,38
189,27
190,25
191,12
192,12
193,12
194,10
195,17
196,7
197,10
198,17
199,9
200,11
201,12
202,9
203,11
204,15
205,15
206,17
207,16
208,25
209,20
210,16
211,16
212,23
213,15
214,25
215,17
216,21
217,27
218,31
219,28
220,27
221,26
222,33
223,32
224,47
225,30
226,75
227,28
228,27
229,53
230,37
231,49
232,37
233,54
234,39
235,58
236,51
237,32
238,50
239,24
240,34
241,19
242,27
243,7
244,9
245,8
246,9
247,19
248,11
249,14
250,14
251,10
252,10
253,19
254,9
255,13
256,18
257,14
258,12
259,16
260,4
261,4
262,8
263,2
264,3
265,4
266,4
267,4
268,5
269,8
270,6
271,6
272,4
273,5
274,5
275,6
276,3
277,11
278,11
279,6
280,4
281,10
282,18
283,10
284,10
285,7
286,7
287,10
288,8
289,8
290,8
291,5
292,11
293,5
294,9
295,10
296,11
297,10
298,11
299,11
300,8
301,11
302,11
303,10
304,9
305,3
306,7
307,6
308,6
309,4
310,3
311,2
312,4
313,3
314,1
315,4
316,4
317,3
318,3
319,5
320,3
321,2
322,3
323,6
324,5
325,8
326,5
327,8
328,18
329,5
330,6
331,6
332,7
333,7
334,11
335,10
336,14
337,8
338,9
339,7
340,7
341,4
342,5
343,8
344,6
345,7
346,7
347,6
348,4
349,4
350,4
351,8
352,6
353,10
354,11
355,5
356,7
357,4
358,10
359,3
360,4
361,4
362,3
363,3
364,2
365,2
366,3
367,3
368,3
369,3
370,3
371,4
372,3
373,5
374,6
375,4
376,3
377,5
378,5
379,8
380,6
381,14
382,8
383,8
384,19
385,24
386,13
387,12
388,9
389,17
390,14
391,3
392,6
393,9
394,10
395,8
396,8
397,10
398,8
399,11
400,12
401,22
402,10
403,7
404,6
405,11
406,10
407,2
408,11
409,8
410,6
411,7
412,6
413,4
414,2
415,3
