,0
0,4
1,3
2,5
3,10
4,9
5,20
6,17
7,27
8,49
9,44
10,44
11,50
12,37
13,34
14,39
15,62
16,70
17,57
18,55
19,72
20,93
21,62
22,36
23,39
24,32
25,25
26,26
27,76
28,75
29,182
30,126
31,91
32,38
33,29
34,27
35,23
36,14
37,43
38,29
39,31
40,16
41,13
42,16
43,23
44,12
45,7
46,10
47,10
48,3
49,5
50,5
51,5
52,5
53,8
54,6
55,8
56,14
57,18
58,18
59,12
60,15
61,16
62,9
63,17
64,26
65,33
66,35
67,38
68,34
69,28
70,43
71,38
72,52
73,83
74,46
75,59
76,73
77,86
78,71
79,125
80,82
81,58
82,99
83,82
84,90
85,74
86,86
87,34
88,21
89,95
90,42
91,126
92,57
93,54
94,49
95,64
96,30
97,43
98,31
99,88
100,41
101,83
102,130
103,51
104,27
105,30
106,65
107,53
108,43
109,67
110,89
111,114
112,73
113,71
114,45
115,21
116,47
117,57
118,26
119,34
120,24
121,26
122,46
123,45
124,43
125,41
126,37
127,47
128,37
129,43
130,85
131,104
132,110
133,94
134,60
135,42
136,37
137,27
138,16
139,24
140,18
141,18
142,18
143,44
144,15
145,11
146,8
147,3
148,3
149,4
150,2
151,4
152,2
153,2
154,3
155,4
156,2
157,1
158,1
159,1
160,5
161,6
162,7
163,5
164,4
165,4
166,5
167,7
168,10
169,11
170,20
171,16
172,40
173,39
174,43
175,45
176,43
177,43
178,41
179,54
180,46
181,38
182,50
183,47
184,48
185,39
186,36
187,35
188,31
189,24
190,18
191,15
192,10
193,6
194,6
195,17
196,9
197,9
198,6
199,5
200,4
201,4
202,2
203,2
204,1
205,2
206,3
207,4
208,8
209,14
210,19
211,25
212,21
213,13
214,25
215,30
216,41
217,53
218,76
219,121
220,163
221,186
222,130
223,185
224,88
225,63
226,45
227,62
228,48
229,59
230,73
231,72
232,100
233,82
234,50
235,56
236,64
237,78
238,58
239,62
240,70
241,61
242,77
243,50
244,29
245,29
246,33
247,32
248,47
249,26
250,27
251,31
252,23
253,11
254,9
255,10
256,4
257,7
258,11
259,6
260,2
261,3
262,3
263,7
264,1
265,2
266,2
267,0
268,1
269,2
270,3
271,4
272,5
273,6
274,3
275,2
276,1
277,3
278,3
279,9
280,6
281,7
282,6
283,9
284,12
285,27
286,11
287,3
288,27
289,15
290,18
291,8
292,7
293,12
294,7
295,6
296,8
297,9
298,18
299,16
300,19
301,17
302,14
303,9
304,19
305,26
306,10
307,6
308,6
309,8
310,3
311,4
312,2
313,2
314,2
315,2
316,2
317,2
318,6
319,6
320,2
321,2
322,2
323,3
324,4
325,8
326,13
327,8
328,7
329,6
330,18
331,12
332,13
333,10
334,11
335,14
336,12
337,32
338,22
339,18
340,57
341,23
342,9
343,5
344,4
345,2
346,2
347,2
348,4
349,4
350,4
351,5
352,3
353,4
354,12
355,12
356,5
357,5
358,2
359,5
360,6
361,8
362,8
363,7
364,7
365,6
366,4
367,4
368,2
369,4
370,3
371,3
372,5
373,4
374,4
375,4
376,6
377,9
378,15
379,13
380,19
381,34
382,32
383,33
384,25
385,54
386,111
387,100
388,49
389,18
390,41
391,71
392,22
393,12
394,11
395,2
396,6
397,5
398,5
399,4
400,5
401,12
402,20
403,18
404,8
405,7
406,6
407,11
408,6
409,7
410,7
411,7
412,7
413,15
414,7
415,3
